author,review,date_review,note,cdiscount_response,cdiscount_response_date,cdiscount_response_content,scores
adeline mabileau,je prends tout car petit budget et le paiement en plusieurs fois c'est super et très bonne qualité dans tout merci c discount cela fait des années que je prends tout,28/04/2024,5,0,,,"{'neg': 0.055, 'neu': 0.797, 'pos': 0.148, 'compound': 0.5256}"
gervais,"je ne suis pas content j attend une commande d un matelas140-190 que l ,ont devais me livrer ily a plus de 3 semaines le livreur n est pas venu  il e l avais foure dans un point retrait  ayant des difficultees a me deplacer  cdiscount m as toujour livrer cher moi  la cela fait que je me bat   pour le recuperer   et btoujour pas de nouvelles  ou est il ?bonne soiree  a vous",24/04/2024,5,1,25/04/2024,"bonjour christian,je vous remercie pour cette note et je suis désolé si vous n'avez pas encore reçu votre commande.je vous invite à appeler mes collègues du service clients : ils pourront vous renseigner et vous indiquer comment récupérer votre colis si celui-ci a été déposé en point retrait.j'espère que vous nous resterez fidèle !à bientôt,damien","{'neg': 0.014, 'neu': 0.873, 'pos': 0.114, 'compound': 0.7861}"
alba,"escroquerie !surfacturation au moment de payer !j'étais à 20 . 99 euros au total de la commande . ""articles clavier filaire rgb - mobility lab - ml306858 - azerty - touches rondes - noir	20 , 99 €abonnement cdiscount à volonté 1 an reconductible	essai gratuit (*)livraison	0 , 00 €total commande	20 , 99 €""après avoir choisi paypal : ""paiement partiel de 29 , 00 eur (2404281352ae20k) sur le montant total de 20 , 99 eur""il faudra me l'expliquer et ce n'est surement pas paypal ou moi en cause !",28/04/2024,1,1,29/04/2024,"bonjour alba,je vois que vous avez souscrit à l'abonnement cdiscount à volonté au moment de la commande. mais si vous ne voulez pas continuer l'abonnement, vous pouvez le résilier 😉tout est expliqué ici : https://www.cdiscount.com/cdavn'hésitez pas à suivre les informations !damien","{'neg': 0.06, 'neu': 0.898, 'pos': 0.043, 'compound': -0.6293}"
client,"j'ai acheté des chaussures nike a 90€, je reçois des mauvaises contrefaçons chinoises ,  mal emballées et déjà toutes marquées . mais du coup super réactivité du service client qui a été au top ,  commande remboursée intégralement . très sérieuxprenez garde au vendeurs qd vous commandez ,  je ne me ferai plus avoir !!!",26/04/2024,5,1,24/04/2024,"bonjour,[mise à jour : le service clients a pris contact avec le vendeur et suit attentivement vos échanges pour s'assurer que celui-ci vous apporte une solution conforme.]--je suis désolé si les produits reçus ne correspondent pas à vos attentes 😕nous ne vendons pas de contrefaçons sur le site, mais nous prenons vos remarques très au sérieux.n'hésitez pas à signaler tout problème au service clients (ou au vendeur marketplace) via votre espace client : il y aura toujours quelqu'un pour vous aider.je vous envoie aussi une demande d'informations pour faire remonter votre avis. cela permettra de vérifier votre commande et de vous apporter une solution.merci de votre retour et à bientôt,damien","{'neg': 0.08, 'neu': 0.819, 'pos': 0.101, 'compound': -0.3999}"
jim khouri,"très mécontent il y a quelques semaines ,  le problème a été réglé et je suis donc à nouveau un client satisfait par les très bons prix et la livraison rapide",28/04/2024,5,0,,,"{'neg': 0.132, 'neu': 0.659, 'pos': 0.21, 'compound': 0.6222}"
dominique touranchet,"impeccable sauf que je n'ai pas réussi à modifier la date de livraison ... il m'a été annoncé le jeudi 25 avril alors que je ne serai pas chez moi ,  par contre le vendredi 26 avril j'y serai toute la journée ! impossible de modifier la chose ,  j'ai interrogé l'aide en ligne qui me dit de contacter le livreur (?) où ,  quand ,  comment ? c'est vraiment complètement stupide de savoir qu'un livreur va se déplacer pour rien ,  en sachant pertinament que l'on ne sera pas chez soi .  merci",23/04/2024,4,1,24/04/2024,"bonjour dominique,merci pour votre confiance et désolé de ce désagrément !je vous conseille de contacter directement le transporteur : c'est sans doute ce que mon collègue vous a conseillé 😉 vous pourrez peut-être modifier le rendez-vous ou la date de livraison.en cas de doute, n'hésitez pas à rappeler notre service clients pour demander de l'aide.j'espère à bientôt,damien","{'neg': 0.065, 'neu': 0.897, 'pos': 0.037, 'compound': -0.6203}"
henry tessier,"je commande régulièrement chez cdiscount et je n'ai jamais eu de problème .  choisissait plutôt une livraison en point relais ,  à domicile les livreurs fond n'importe quoi . ",27/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.2003}"
guy,"moi j'adore ,  je suis client depuis des années ,  j'achète chez cdiscount ,  donc j'achète plus ou moins français ,  avec cdisount jamais eu de soucis ,  et cela depuis des années ;  pour les septique je conseil très fortement cdiscount ,  vous pouvez y aller les yeux fermés . ",28/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.4576}"
patrice pauly,tres bien celafait longtemps que je suis client en cas de probleme remboursement rapide bravo cdiscount  ce n'est pas votre faute si certain vendeur sur votre site sont de mauvaise fois et pas serieux ; merci,26/04/2024,5,0,,,"{'neg': 0.232, 'neu': 0.585, 'pos': 0.183, 'compound': -0.5171}"
muriel fleury,"rien à dire pour le service ,  la livraison ,  la commande même en cas de problème service très réactif continuez comme ça surtout je suis une cliente très fidèle et un petit cadeau serait le bienvenu je viens de fêter mon anniversaire merci je vous adore !!!",24/04/2024,5,0,,,"{'neg': 0.03, 'neu': 0.709, 'pos': 0.261, 'compound': 0.9195}"
gomez,"bonjour ,  nous avons acheté plusieurs cartons de vins du bordelais .  un sms provenant de cdiscount nous informe que notre colis ne sera pas livré car endommagé .  avec grand étonnement ,  notre colis a été livré scotché dans tous les sens car abîmé ,  et une bouteille manquée .  aucune possibilité d’avoir un recours auprès de cdiscount",28/04/2024,1,1,29/04/2024,"bonjour gomez,je comprends votre déception et je vous encourage à noter dans votre espace clients que vous avez reçu votre produit abîmé.tout est expliqué ici :https://clients.cdiscount.com/frequentlyaskedquestions.html?userinput=que%2520faire%2520si%2520j%27ai%2520re%25c3%25a7u%2520un%2520produit%2520ab%25c3%25aem%25c3%25a9%2520%3f%2520n'hésitez pas à suivre la procédure pour signaler votre situation auprès de notre service clients 😉bonne fin de journée,damien","{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.6329}"
