author,review,review_date,note,response_yesno,response_date,response,neg,neu,pos,compound
Magaly PIN,Depuis bon nombre d'années à commander sur Cdiscount je n'ai jamais eu aucun souci majeur,20/05/2024,5,0,,,0.0,0.712,0.288,0.567
Alemany Eric,"Très bien. Et puis moins d'agent pour les (gros) actionnaires retraités américains d'Amazon qu nous écrasent.Pour CDiscount, j'aimerais avoir les frais de port sur la page de présentation du produit, et pas en fin de processus d'achat.(ici c'était gratuit, mais c'est toujours la surprise)",16/05/2024,3,1,17/05/2024,"Bonjour Eric,Merci de votre confiance et de votre fidélité ! 😊En ce qui concerne les frais de port, n'hésitez pas à faire vos recherches en cochant ""livraison gratuite"", ou ""Cdiscount à Volonté"" si vous avez souscrit à cet abonnement.Vous trouverez également des précisions ici : https://www.cdiscount.com/shipping/shippinginfo.html?shippingpartnerorigin=ftA très bientôt,Damien",0.0,0.873,0.127,0.5709
M.A.C,"meme en sélectionnant les produits ""expédies par Cdiscount"", ils sont souvent en fait expédiés par des vendeurs en drop shipping qui facturent des frais de port",17/05/2024,4,0,,,0.0,0.916,0.084,0.3182
michele fedit,jamais decue avec c discount beaucoup de choix prix attrayants et qualite des produits,20/05/2024,5,0,,,0.0,0.703,0.297,0.6226
Cé,MA RECHERCHE ET COMMANDE S EST TRES BIEN PASSEE. ESPERONS QUE LA RECEPTION ET LES ARTICLES SERONT A LA HAUTEUR,18/05/2024,5,0,,,0.0,0.653,0.347,0.8385
Nadine Mengue,Le produit commandé est très satisfaisant pour le prix. Mais j'ai été prélevé de 29 € en plus qui correspondent à cdiscount à volonté. Je ne le désirais pas .Ma première expérience à donc été décevante.,17/05/2024,3,0,,,0.075,0.798,0.127,0.358
Gigi Tintin,simplicité de commande et de paiement avec plusieurs option possible.choix et prix au top merci,18/05/2024,5,0,,,0.0,0.625,0.375,0.7351
Romain Machart,"Pas eux un seul soucis avec Cdiscount en tout cas les colis envoyé par Cdiscount, ce que je recommande de sélectionner ainsi que Cdiscount à volonté pour profiter d'une meilleure qualité et suivit des commandes.",18/05/2024,5,0,,,0.069,0.757,0.174,0.5377
Dominique GOULOT,"Client depuis 14 ans toujours satisfait du service à part quelques petites bricoles sans intérêt. Ce qui me gêne depuis plusieurs mois, c'est le captcha qui est demandé à chaque fois pour une soi-disant sécurité, c'est un argument bidon et cela est vraiment pénible, ce captcha est là pour faire avancer l'IA et non pour la sécurité comme le prétend Cdiscount, après avoir contacté Cdiscount en leur disant que je ne commanderais plus, la réponse a été la suivante, faite comme vous voulez, le captcha restera ! très commercial non ?",15/05/2024,3,1,15/05/2024,"Bonjour Dominique,Merci de votre fidélité et merci d'avoir pris le temps de partager ces remarques.Le captcha n'est pas là pour être pénible mais bien pour des raisons de sécurité. Ce type de test permet de vérifier que vous êtes bien un être humain et non un robot.Je suis désolé si cela vous dérange, mais je ne pense pas que nos équipes spécialistes en sécurité ont prévu de le retirer pour le moment...J'espère en tout cas que cela ne vous empêchera pas de repasser commande.À bientôt,Damien",0.125,0.777,0.097,-0.5508
MassimoFR,Je suis client depuis juin 2021 et n'ai jamais été déçu des 17 achats effectués sur cdiscount.Le seul regret c'est le harcèlement au niveau des courriels quotidien qui finissent parfois directement à la corbeille.,11/05/2024,4,0,,,0.187,0.743,0.07,-0.7555
